Category: All categories

Week,2010 San Bruno pipeline explosion: (San Francisco-Oakland-San Jose CA),World Series: (San Francisco-Oakland-San Jose CA)
2010-01-02,0,0
2010-01-09,0,0
2010-01-16,0,0
2010-01-23,0,0
2010-01-30,0,0
2010-02-06,0,0
2010-02-13,0,2
2010-02-20,0,2
2010-02-27,0,2
2010-03-06,0,2
2010-03-13,0,2
2010-03-20,0,2
2010-03-27,0,2
2010-04-03,0,2
2010-04-10,0,2
2010-04-17,0,2
2010-04-24,0,2
2010-05-01,0,2
2010-05-08,0,2
2010-05-15,0,2
2010-05-22,0,2
2010-05-29,0,2
2010-06-05,0,2
2010-06-12,0,2
2010-06-19,0,2
2010-06-26,0,2
2010-07-03,0,2
2010-07-10,0,2
2010-07-17,0,2
2010-07-24,0,2
2010-07-31,0,2
2010-08-07,0,2
2010-08-14,0,2
2010-08-21,0,2
2010-08-28,0,2
2010-09-04,40,2
2010-09-11,13,2
2010-09-18,4,2
2010-09-25,3,2
2010-10-02,3,2
2010-10-09,4,4
2010-10-16,5,5
2010-10-23,3,100
2010-10-30,2,95
2010-11-06,2,3
2010-11-13,1,2
2010-11-20,1,2
2010-11-27,1,1
2010-12-04,1,2
2010-12-11,1,1
2010-12-18,3,2
2010-12-25,0,0
